Observations	Fst2Try	Fashnista	PplThnkMe	PplAskMe	FashnMzne	NoBgDeal	NotBld	OnlyBest	ExclsvShop	WhrFrndShop	OtherPpl	MagznNews	Catlg	Internet	Excitbl	Thrfty	Contemp	Rationl	Yuthfl	Orthdx	Modst	Age	ApparelEx	Income	Edu
60	2	3	4	4	5	4	5	4	2	4	4	5	5	2	5	3	3	4	2	6	4	2	2	5	3
61	3	5	5	3	3	3	5	5	5	5	6	6	5	2	2	3	3	2	2	7	5	2	2	4	2
62	3	4	4	3	1	1	4	4	1	1	4	4	6	1	4	6	3	1	4	4	4	3	3	4	2
63	2	2	3	2	5	5	6	5	2	2	6	5	6	5	6	4	2	3	6	7	2	2	1	1	3
64	4	5	5	6	7	2	5	6	4	2	6	5	7	4	2	4	2	4	2	4	2	2	2	2	1
65	3	4	3	4	4	4	4	4	4	3	3	3	3	3	4	4	4	4	4	4	4	3	1	3	2
66	1	1	1	1	1	5	6	4	1	1	1	1	1	1	5	4	4	4	7	5	1	4	1	3	2
67	5	4	6	4	4	1	2	5	5	5	3	3	7	4	7	5	4	1	1	2	1	2	3	4	2
68	4	2	4	4	4	2	3	4	3	3	5	5	4	4	4	5	6	2	5	5	3	1	4	4	2
69	3	4	3	2	2	3	5	4	2	1	2	3	5	1	2	5	5	5	4	5	5	2	3	3	2
70	3	4	5	7	6	1	3	5	3	5	5	6	7	1	4	5	4	6	1	7	3	1	2	1	1
71	2	3	3	2	3	3	4	4	3	3	6	6	6	4	6	6	4	4	5	5	4	2	2	3	1
72	4	3	6	5	6	2	4	4	5	2	1	1	1	1	3	3	4	3	1	4	5	2	2	2	2
73	5	5	6	5	5	3	2	5	2	1	3	6	6	2	2	4	3	3	4	4	2	1	3	2	2
74	1	3	4	2	1	2	4	7	4	5	5	3	5	3	3	4	3	6	3	5	3	3	2	4	1
75	5	3	1	3	3	5	3	7	1	1	6	5	5	1	3	3	2	2	5	4	3	2	2	3	2
76	4	4	4	5	7	3	4	6	1	1	1	5	6	1	5	1	2	2	7	6	4	4	2	2	1
77	1	1	2	2	1	5	5	6	1	1	6	5	5	3	4	2	4	4	2	6	2	1	1	2	2
78	2	2	2	2	4	3	1	7	7	1	2	2	5	2	2	3	4	2	6	6	4	3	1	4	2
79	3	3	3	4	4	2	4	6	5	4	4	5	6	4	5	2	4	1	4	5	2	2	2	3	2
80	2	4	4	3	4	1	4	7	1	1	2	5	5	1	5	1	4	7	7	5	1	4	1	1	2
81	1	1	1	1	2	3	1	5	1	1	2	5	5	5	3	3	5	2	5	6	2	2	1	5	1
82	4	3	3	5	3	2	5	6	1	1	1	1	6	1	5	1	4	1	7	5	4	3	1	1	2
83	2	3	3	5	7	5	6	4	1	4	7	6	6	1	2	1	3	3	1	4	3	1	1	1	1
84	4	4	5	4	7	5	6	6	2	2	4	4	6	4	7	1	4	1	7	5	1	2	1	1	2
85	3	3	4	2	5	2	2	6	1	4	4	4	4	4	2	2	2	2	2	5	4	3	2	1	3
86	2	2	2	2	2	5	2	7	1	1	1	1	1	1	5	3	4	1	4	4	3	3	1	3	3
87	2	3	4	5	4	2	4	7	1	1	6	5	4	1	2	4	3	2	6	4	5	1	2	1	2
88	2	4	4	4	5	2	4	6	2	2	6	7	7	2	4	5	3	4	4	6	4	2	2	4	2
89	1	3	5	5	7	3	3	6	6	6	6	6	7	2	3	5	2	5	5	5	5	1	3	1	3
90	1	2	2	1	4	3	5	6	6	1	2	6	6	1	2	6	2	1	4	4	2	4	3	4	1
91	3	3	4	2	7	1	7	7	2	3	2	5	5	1	2	4	2	6	6	4	2	4	1	1	1
92	4	5	4	3	5	1	5	7	2	2	5	6	5	1	5	5	3	5	6	3	3	3	2	5	2
93	3	5	5	5	7	2	1	5	2	4	6	5	5	5	4	5	2	6	4	5	4	1	3	2	2
94	1	2	1	1	2	6	6	7	4	4	5	5	5	6	5	4	3	3	4	6	3	2	2	2	1
95	2	2	2	2	2	3	3	6	2	2	2	2	2	2	7	7	1	1	7	7	1	4	1	1	3
96	3	3	3	3	6	2	6	7	3	3	4	5	5	1	5	5	4	6	6	5	4	3	2	3	1
97	1	4	1	1	5	1	5	6	1	1	6	4	4	4	4	5	4	6	5	6	2	3	2	3	2
